Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year,Rank,Lifetime Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Indiana Jones and the Last Crusade,8.2,"Action, Adventure",127.0,U,1989,281.0,474171806.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dom za vesanje,8.2,"Comedy, Crime, Drama",142.0,R,1988,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonari no Totoro,8.2,"Animation, Family, Fantasy",86.0,U,1988,,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Die Hard,8.2,"Action, Thriller",132.0,A,1988,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ran,8.2,"Action, Drama, War",162.0,U,1985,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Raging Bull,8.2,"Biography, Drama, Sport",129.0,A,1980,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stalker,8.2,"Drama, Sci-Fi",162.0,U,1979,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Höstsonaten,8.2,"Drama, Music",99.0,U,1978,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Message,8.2,"Biography, Drama, History",177.0,PG,1976,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sholay,8.2,"Action, Adventure, Comedy",204.0,U,1975,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monty Python and the Holy Grail,8.2,"Adventure, Comedy, Fantasy",91.0,PG,1975,,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Great Escape,8.2,"Adventure, Drama, History",172.0,U,1963,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
To Kill a Mockingbird,8.2,"Crime, Drama",129.0,U,1962,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yôjinbô,8.2,"Action, Drama, Thriller",110.0,,1961,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Judgment at Nuremberg,8.2,"Drama, War",179.0,A,1961,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Some Like It Hot,8.2,"Comedy, Music, Romance",121.0,U,1959,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Smultronstället,8.2,"Drama, Romance",91.0,U,1957,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Det sjunde inseglet,8.2,"Drama, Fantasy, History",96.0,A,1957,,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Du rififi chez les hommes,8.2,"Crime, Drama, Thriller",118.0,,1955,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dial M for Murder,8.2,"Crime, Thriller",105.0,A,1954,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tôkyô monogatari,8.2,Drama,136.0,U,1953,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashômon,8.2,"Crime, Drama, Mystery",88.0,,1950,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
All About Eve,8.2,Drama,138.0,Passed,1950,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Treasure of the Sierra Madre,8.2,"Adventure, Drama, Western",126.0,Passed,1948,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
To Be or Not to Be,8.2,"Comedy, War",99.0,Passed,1942,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Gold Rush,8.2,"Adventure, Comedy, Drama",95.0,Passed,1925,,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock Jr.,8.2,"Action, Comedy, Romance",45.0,Passed,1924,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Portrait de la jeune fille en feu,8.1,"Drama, Romance",122.0,R,2019,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pink,8.1,"Drama, Thriller",136.0,UA,2016,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Koe no katachi,8.1,"Animation, Drama, Family",130.0,16,2016,,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Contratiempo,8.1,"Crime, Drama, Mystery",106.0,TV-MA,2016,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ah-ga-ssi,8.1,"Drama, Romance, Thriller",145.0,A,2016,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Mommy,8.1,Drama,139.0,R,2014,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haider,8.1,"Action, Crime, Drama",160.0,UA,2014,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,8.1,"Action, Drama, Sci-Fi",137.0,A,2017,185.0,619180476.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Room,8.1,"Drama, Thriller",118.0,R,2015,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Relatos salvajes,8.1,"Comedy, Drama, Thriller",122.0,R,2014,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Soul,8.1,"Animation, Adventure, Comedy",100.0,U,2020,,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kis Uykusu,8.1,Drama,196.0,,2014,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PK,8.1,"Comedy, Drama, Musical",153.0,UA,2014,,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OMG: Oh My God!,8.1,"Comedy, Drama, Fantasy",125.0,U,2012,,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Grand Budapest Hotel,8.1,"Adventure, Comedy, Crime",99.0,UA,2014,,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gone Girl,8.1,"Drama, Mystery, Thriller",149.0,A,2014,423.0,370890259.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Ôkami kodomo no Ame to Yuki,8.1,"Animation, Drama, Fantasy",117.0,U,2012,,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hacksaw Ridge,8.1,"Biography, Drama, History",139.0,A,2016,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inside Out,8.1,"Animation, Adventure, Comedy",95.0,U,2015,91.0,859076254.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barfi!,8.1,"Comedy, Drama, Romance",151.0,U,2012,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12 Years a Slave,8.1,"Biography, Drama, History",134.0,A,2013,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rush,8.1,"Action, Biography, Drama",123.0,UA,2013,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford v Ferrari,8.1,"Action, Biography, Drama",152.0,UA,2019,808.0,226299480.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotlight,8.1,"Biography, Crime, Drama",129.0,A,2015,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Song of the Sea,8.1,"Animation, Adventure, Drama",93.0,PG,2014,,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kahaani,8.1,"Mystery, Thriller",122.0,UA,2012,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Zindagi Na Milegi Dobara,8.1,"Comedy, Drama",155.0,U,2011,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prisoners,8.1,"Crime, Drama, Mystery",153.0,A,2013,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mad Max: Fury Road,8.1,"Action, Adventure, Sci-Fi",120.0,UA,2015,403.0,380437267.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Wednesday,8.1,"Action, Crime, Drama",104.0,UA,2008,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gran Torino,8.1,Drama,116.0,R,2008,652.0,269958228.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 2,8.1,"Adventure, Drama, Fantasy",130.0,UA,2011,21.0,1342499744.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Okuribito,8.1,"Drama, Music",130.0,PG-13,2008,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hachi: A Dog's Tale,8.1,"Biography, Drama, Family",93.0,G,2009,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary and Max,8.1,"Animation, Comedy, Drama",92.0,,2009,,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon,8.1,"Animation, Action, Adventure",98.0,U,2010,256.0,494879860.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Into the Wild,8.1,"Adventure, Biography, Drama",148.0,R,2007,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Country for Old Men,8.1,"Crime, Drama, Thriller",122.0,R,2007,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lage Raho Munna Bhai,8.1,"Comedy, Drama, Romance",144.0,U,2006,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Million Dollar Baby,8.1,"Drama, Sport",132.0,UA,2004,847.0,216763646.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hotel Rwanda,8.1,"Biography, Drama, History",121.0,PG-13,2004,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Taegukgi hwinalrimyeo,8.1,"Action, Drama, War",140.0,R,2004,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Before Sunset,8.1,"Drama, Romance",80.0,R,2004,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Munna Bhai M.B.B.S.,8.1,"Comedy, Drama, Musical",156.0,U,2003,,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Salinui chueok,8.1,"Crime, Drama, Mystery",131.0,UA,2003,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dil Chahta Hai,8.1,"Comedy, Drama, Romance",183.0,Unrated,2001,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kill Bill: Vol. 1,8.1,"Action, Crime, Drama",111.0,R,2003,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finding Nemo,8.1,"Animation, Adventure, Comedy",100.0,U,2003,70.0,941637960.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catch Me If You Can,8.1,"Biography, Crime, Drama",141.0,A,2002,464.0,352114312.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amores perros,8.1,"Drama, Thriller",154.0,A,2000,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Monsters, Inc.",8.1,"Animation, Adventure, Comedy",92.0,U,2001,203.0,579770299.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,"Animation, Action, Drama",87.0,UA,1997,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagaan: Once Upon a Time in India,8.1,"Adventure, Drama, Musical",224.0,U,2001,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Sixth Sense,8.1,"Drama, Mystery, Thriller",107.0,A,1999,159.0,672806432.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
La leggenda del pianista sull'oceano,8.1,"Drama, Music, Romance",169.0,U,1998,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
The Truman Show,8.1,"Comedy, Drama",103.0,U,1998,667.0,264118712.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crna macka, beli macor",8.1,"Comedy, Crime, Romance",127.0,R,1998,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Big Lebowski,8.1,"Comedy, Crime, Sport",117.0,R,1998,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fa yeung nin wah,8.1,"Drama, Romance",98.0,U,2000,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trainspotting,8.1,Drama,93.0,A,1996,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,8.1,"Crime, Drama, Thriller",98.0,A,1996,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Underground,8.1,"Comedy, Drama, War",170.0,,1995,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
La haine,8.1,"Crime, Drama",98.0,UA,1995,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilwale Dulhania Le Jayenge,8.1,"Drama, Romance",189.0,U,1995,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Before Sunrise,8.1,"Drama, Romance",101.0,R,1995,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trois couleurs: Rouge,8.1,"Drama, Mystery, Romance",99.0,U,1994,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chung Hing sam lam,8.1,"Comedy, Crime, Drama",102.0,U,1994,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic Park,8.1,"Action, Adventure, Sci-Fi",127.0,UA,1993,39.0,1104379926.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
In the Name of the Father,8.1,"Biography, Crime, Drama",133.0,UA,1993,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba wang bie ji,8.1,"Drama, Music, Romance",171.0,R,1993,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Dà hóng denglong gaogao guà,8.1,"Drama, History, Romance",125.0,PG,1991,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Dead Poets Society,8.1,"Comedy, Drama",128.0,U,1989,770.0,235860116.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand by Me,8.1,"Adventure, Drama",89.0,U,1986,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platoon,8.1,"Drama, War",120.0,A,1986,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Paris, Texas",8.1,Drama,145.0,U,1984,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaze no tani no Naushika,8.1,"Animation, Adventure, Fantasy",117.0,U,1984,,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Thing,8.1,"Horror, Mystery, Sci-Fi",109.0,A,1982,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Pink Floyd: The Wall,8.1,"Drama, Fantasy, Music",95.0,UA,1982,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Fitzcarraldo,8.1,"Adventure, Drama",158.0,R,1982,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanny och Alexander,8.1,Drama,188.0,A,1982,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade Runner,8.1,"Action, Sci-Fi, Thriller",117.0,UA,1982,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Elephant Man,8.1,"Biography, Drama",124.0,UA,1980,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Life of Brian,8.1,Comedy,94.0,R,1979,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Deer Hunter,8.1,"Drama, War",183.0,A,1978,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rocky,8.1,"Drama, Sport",120.0,U,1976,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Network,8.1,Drama,121.0,UA,1976,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Lyndon,8.1,"Adventure, Drama, History",185.0,PG,1975,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zerkalo,8.1,"Biography, Drama",107.0,G,1975,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown,8.1,"Drama, Mystery, Thriller",130.0,UA,1974,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Paper Moon,8.1,"Comedy, Crime, Drama",102.0,U,1973,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viskningar och rop,8.1,Drama,91.0,A,1972,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solaris,8.1,"Drama, Mystery, Sci-Fi",167.0,PG,1972,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Le samouraï,8.1,"Crime, Drama, Mystery",105.0,GP,1967,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cool Hand Luke,8.1,"Crime, Drama",127.0,A,1967,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persona,8.1,"Drama, Thriller",85.0,,1966,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Andrei Rublev,8.1,"Biography, Drama, History",205.0,R,1966,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La battaglia di Algeri,8.1,"Drama, War",121.0,,1966,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
El ángel exterminador,8.1,"Drama, Fantasy",95.0,,1962,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
What Ever Happened to Baby Jane?,8.1,"Drama, Horror, Thriller",134.0,Passed,1962,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Sanjuro,8.1,"Action, Comedy, Crime",96.0,U,1962,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Man Who Shot Liberty Valance,8.1,"Drama, Western",123.0,,1962,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ivanovo detstvo,8.1,"Drama, War",95.0,,1962,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jungfrukällan,8.1,Drama,89.0,A,1960,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inherit the Wind,8.1,"Biography, Drama, History",128.0,Passed,1960,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Les quatre cents coups,8.1,"Crime, Drama",99.0,,1959,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben-Hur,8.1,"Adventure, Drama, History",212.0,U,1959,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kakushi-toride no san-akunin,8.1,"Adventure, Drama",139.0,,1958,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le notti di Cabiria,8.1,Drama,110.0,,1957,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kumonosu-jô,8.1,"Drama, History",110.0,,1957,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Bridge on the River Kwai,8.1,"Adventure, Drama, War",161.0,PG,1957,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
On the Waterfront,8.1,"Crime, Drama, Thriller",108.0,A,1954,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Le salaire de la peur,8.1,"Adventure, Drama, Thriller",131.0,U,1953,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ace in the Hole,8.1,"Drama, Film-Noir",111.0,Approved,1951,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
White Heat,8.1,"Action, Crime, Drama",114.0,,1949,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Third Man,8.1,"Film-Noir, Mystery, Thriller",104.0,Approved,1949,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
The Red Shoes,8.1,"Drama, Music, Romance",135.0,,1948,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
The Shop Around the Corner,8.1,"Comedy, Drama, Romance",99.0,,1940,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rebecca,8.1,"Drama, Mystery, Romance",130.0,Approved,1940,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mr. Smith Goes to Washington,8.1,"Comedy, Drama",129.0,Passed,1939,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gone with the Wind,8.1,"Drama, History, Romance",238.0,U,1939,374.0,402382193.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
La Grande Illusion,8.1,"Drama, War",113.0,,1937,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
It Happened One Night,8.1,"Comedy, Romance",105.0,Approved,1934,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
La passion de Jeanne d'Arc,8.1,"Biography, Drama, History",110.0,Passed,1928,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Circus,8.1,"Comedy, Romance",72.0,Passed,1928,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sunrise: A Song of Two Humans,8.1,"Drama, Romance",94.0,Passed,1927,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The General,8.1,"Action, Adventure, Comedy",67.0,Passed,1926,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Das Cabinet des Dr. Caligari,8.1,"Fantasy, Horror, Mystery",76.0,,1920,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Badhaai ho,8.0,"Comedy, Drama",124.0,UA,2018,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,8.0,"Adventure, Biography, Drama",113.0,U,2019,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airlift,8.0,"Drama, History",130.0,UA,2016,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bajrangi Bhaijaan,8.0,"Action, Adventure, Comedy",163.0,UA,2015,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby,8.0,"Action, Crime, Thriller",159.0,UA,2015,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La La Land,8.0,"Comedy, Drama, Music",128.0,A,2016,248.0,509183536.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lion,8.0,"Biography, Drama",118.0,U,2016,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Martian,8.0,"Adventure, Drama, Sci-Fi",144.0,UA,2015,177.0,630621406.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zootopia,8.0,"Animation, Adventure, Comedy",108.0,U,2016,53.0,1025521689.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bãhubali: The Beginning,8.0,"Action, Drama",159.0,UA,2015,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaguyahime no monogatari,8.0,"Animation, Adventure, Drama",137.0,U,2013,,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wonder,8.0,"Drama, Family",113.0,U,2017,542.0,315025930.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gully Boy,8.0,"Drama, Music, Romance",154.0,UA,2019,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Special Chabbis,8.0,"Crime, Drama, Thriller",144.0,UA,2013,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Short Term 12,8.0,Drama,96.0,R,2013,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbuan maut 2: Berandal,8.0,"Action, Crime, Thriller",150.0,A,2014,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Imitation Game,8.0,"Biography, Drama, Thriller",114.0,UA,2014,776.0,233555708.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Guardians of the Galaxy,8.0,"Action, Adventure, Comedy",121.0,UA,2014,119.0,773350376.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade Runner 2049,8.0,"Action, Drama, Mystery",164.0,UA,2017,632.0,276605984.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Her,8.0,"Drama, Romance, Sci-Fi",126.0,A,2013,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
