Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year,Rank,Lifetime Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Departed,8.5,"Crime, Drama, Thriller",151.0,A,2006,605.0,291481358.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Pianist,8.5,"Biography, Drama, Music",150.0,R,2002,,,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gladiator,8.5,"Action, Adventure, Drama",155.0,UA,2000,294.0,465516248.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American History X,8.5,Drama,119.0,R,1998,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Usual Suspects,8.5,"Crime, Mystery, Thriller",106.0,A,1995,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Léon,8.5,"Action, Crime, Drama",110.0,A,1994,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lion King,8.5,"Animation, Adventure, Drama",88.0,U,1994,58.0,979161373.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator 2: Judgment Day,8.5,"Action, Sci-Fi",137.0,U,1991,247.0,517778573.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nuovo Cinema Paradiso,8.5,"Drama, Romance",155.0,U,1988,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hotaru no haka,8.5,"Animation, Drama, War",89.0,U,1988,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Back to the Future,8.5,"Adventure, Comedy, Sci-Fi",116.0,U,1985,396.0,385053307.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Once Upon a Time in the West,8.5,Western,165.0,U,1968,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Psycho,8.5,"Horror, Mystery, Thriller",109.0,A,1960,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Casablanca,8.5,"Drama, Romance, War",102.0,U,1942,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Modern Times,8.5,"Comedy, Drama, Family",87.0,G,1936,,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
City Lights,8.5,"Comedy, Drama, Romance",87.0,G,1931,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Capharnaüm,8.4,Drama,126.0,A,2018,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayla: The Daughter of War,8.4,"Biography, Drama, History",125.0,,2017,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vikram Vedha,8.4,"Action, Crime, Drama",147.0,UA,2017,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimi no na wa.,8.4,"Animation, Drama, Fantasy",106.0,U,2016,,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dangal,8.4,"Action, Biography, Drama",161.0,U,2016,568.0,303726694.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Into the Spider-Verse,8.4,"Animation, Action, Adventure",117.0,U,2018,383.0,393602435.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Endgame,8.4,"Action, Adventure, Drama",181.0,UA,2019,2.0,2799439100.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Infinity War,8.4,"Action, Adventure, Sci-Fi",149.0,UA,2018,6.0,2052415039.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
